都道府県コード,港コード,都道府県名,港名,緯度,経度,潮汐種別
45,5,宮崎県,折生迫,31.47,131.28,2
45,6,宮崎県,細島,32.26,131.4,1
45,7,宮崎県,美々津,32.2,131.37,2
45,8,宮崎県,土々呂,32.3,131.41,2
45,9,宮崎県,宮崎,31.54,131.28,1
46,1,鹿児島県,阿久根,32.01,130.12,1
46,2,鹿児島県,川内,31.51,130.13,2
46,3,鹿児島県,浦内湾,31.51,129.51,2
46,4,鹿児島県,串木野,31.43,130.16,2
46,5,鹿児島県,戸崎,31.39,130.18,2
46,6,鹿児島県,坊泊,31.17,130.13,2
46,7,鹿児島県,枕崎,31.16,130.18,1
46,8,鹿児島県,山川,31.12,130.38,2
46,9,鹿児島県,喜入,31.23,130.33,1
46,10,鹿児島県,鹿児島,31.36,130.34,1
46,11,鹿児島県,麓,31.33,130.44,2
46,12,鹿児島県,園山,31.37,130.42,2
46,13,鹿児島県,垂水,31.3,130.42,2
46,14,鹿児島県,鹿屋,31.24,130.46,2
46,15,鹿児島県,伊座敷,31.06,130.42,2
46,16,鹿児島県,大泊,31.01,130.41,1
46,17,鹿児島県,志布志,31.28,131.07,2
46,18,鹿児島県,硫黄島,30.47,130.17,2
46,19,鹿児島県,西之表,30.44,131,1
46,20,鹿児島県,田ノ脇,30.41,131.04,2
46,21,鹿児島県,大浦,30.27,130.58,2
46,22,鹿児島県,一湊,30.28,130.3,2
46,23,鹿児島県,口永良部島,30.28,130.11,2
46,24,鹿児島県,臥蛇島,29.54,129.33,2
46,25,鹿児島県,中之島,29.5,129.51,1
46,26,鹿児島県,宝島,29.09,129.12,2
46,27,鹿児島県,笠利湾,28.27,129.39,2
46,28,鹿児島県,名瀬,28.23,129.3,1
46,29,鹿児島県,宇検,28.17,129.14,2
46,30,鹿児島県,西古見湾,28.15,129.1,2
46,31,鹿児島県,久慈湾,28.14,129.15,2
46,32,鹿児島県,古仁屋,28.09,129.19,1
46,33,鹿児島県,住用湾,28.14,129.25,2
46,34,鹿児島県,請島,28.02,129.14,2
46,35,鹿児島県,山村湾,27.52,128.58,2
46,36,鹿児島県,和泊,27.24,128.4,2
46,37,鹿児島県,茶花,27.03,128.25,2
46,38,鹿児島県,波見,31.21,131.01,2
47,1,沖縄県,我喜屋,27.02,127.58,2
47,2,沖縄県,伊江,26.42,127.48,2
47,3,沖縄県,運天,26.4,128.01,2
47,4,沖縄県,渡久地,26.39,127.54,2
47,5,沖縄県,那覇,26.13,127.4,1
47,6,沖縄県,糸満,26.08,127.4,2
47,7,沖縄県,石川,26.25,127.51,1
47,8,沖縄県,馬天,26.11,127.47,2
47,9,沖縄県,楚久,26.33,128.02,2
47,10,沖縄県,座間味,26.13,127.18,2
47,11,沖縄県,儀間,26.2,126.46,2
47,12,沖縄県,南大東島,25.49,131.14,2
47,13,沖縄県,平良,24.48,125.17,1
47,14,沖縄県,長山,24.48,125.12,2
47,15,沖縄県,石垣,24.2,124.1,1
47,16,沖縄県,船浮,24.2,123.44,2
47,17,沖縄県,比川,24.25,123,2
47,18,沖縄県,黄尾嶼,25.56,123.41,2
47,19,沖縄県,魚釣島,25.44,123.28,2
47,20,沖縄県,白浜,24.21,123.45,2
47,21,沖縄県,安田,26.44,128.19,2
47,22,沖縄県,辺土名,26.45,128.11,2
47,23,沖縄県,都屋,26.23,127.44,2
47,24,沖縄県,平敷屋,26.18,127.55,2
47,25,沖縄県,奥武島,26.08,127.47,2
47,26,沖縄県,仲里,26.21,126.49,2
47,27,沖縄県,池間,24.55,125.15,2
47,28,沖縄県,佐良浜,24.5,125.13,2
47,29,沖縄県,波照間,24.04,123.46,2
47,30,沖縄県,久部良,24.27,122.56,2
47,31,沖縄県,渡嘉敷,26.12,127.22,2
47,32,沖縄県,泡瀬,26.19,127.51,2
47,33,沖縄県,東,26.37,128.1,2
47,34,沖縄県,宜名真,26.51,128.15,2
47,35,沖縄県,兼城,26.2,126.45,2
